,Song Name,Closeness Score,Happy Score,Angry Score,Sad Score,Surprise Score,Fear Score,Prioritized Emotion,Artist Name
313,the pop life,0.005,0.07,0.11,0.26,0.22,0.33,Happy,Little Dragon
314,wink,0.0,0.05,0.1,0.3,0.3,0.25,Happy,Little Dragon
315,underbart,0.0,0.06,0.09,0.24,0.24,0.38,Happy,Little Dragon
316,dont cry,0.0,0.1,0.0,0.45,0.15,0.3,Happy,Little Dragon
317,nightlight,0.03,0.13,0.0,0.22,0.17,0.48,Happy,Little Dragon
318,a new,0.04,0.14,0.29,0.29,0.0,0.29,Happy,Little Dragon
319,twice,0.0,0.06,0.12,0.44,0.19,0.19,Happy,Little Dragon
320,turn left,0.0099999999999999,0.11,0.05,0.11,0.53,0.21,Happy,Little Dragon
321,amoban,0.09,0.14,0.07,0.25,0.25,0.29,,Little Dragon
322,dont cry,0.2099999999999999,0.1,0.0,0.45,0.15,0.3,,Little Dragon
323,twice,0.21,0.06,0.12,0.44,0.19,0.19,,Little Dragon
324,the pop life,0.105,0.07,0.11,0.26,0.22,0.33,,Little Dragon
325,wink,0.1699999999999999,0.05,0.1,0.3,0.3,0.25,,Little Dragon
326,cat rider,0.22,0.16,0.05,0.19,0.22,0.38,,Little Dragon
327,gold,0.18,0.17,0.0,0.27,0.22,0.34,,Little Dragon
328,shuffle a dream,0.26,0.05,0.0,0.34,0.32,0.29,,Little Dragon
329,crystalfilm,0.2499999999999999,0.0,0.08,0.42,0.21,0.29,,Little Dragon
330,klapp klapp,0.25,0.05,0.08,0.27,0.38,0.22,,Little Dragon
331,hold on,0.265,0.27,0.07,0.33,0.2,0.13,,Little Dragon
332,tumbling dice,0.0,0.25,0.07,0.29,0.14,0.25,Sad,Little Dragon
333,strobe light,0.04,0.14,0.19,0.3,0.11,0.27,Sad,Little Dragon
334,only one,0.0,0.0,0.08,0.33,0.42,0.17,Sad,Little Dragon
335,underbart,0.0,0.06,0.09,0.24,0.24,0.38,Sad,Little Dragon
336,should i,0.0,0.09,0.09,0.23,0.14,0.45,Sad,Little Dragon
337,please turn,0.0,0.1,0.1,0.14,0.29,0.38,Sad,Little Dragon
338,gold,0.0,0.17,0.0,0.27,0.22,0.34,Sad,Little Dragon
339,wink,0.0,0.05,0.1,0.3,0.3,0.25,Sad,Little Dragon
340,hold on,0.0,0.27,0.07,0.33,0.2,0.13,Sad,Little Dragon
341,shuffle a dream,0.0,0.05,0.0,0.34,0.32,0.29,Sad,Little Dragon
342,the pop life,0.075,0.07,0.11,0.26,0.22,0.33,Sad,Little Dragon
343,cat rider,0.0,0.16,0.05,0.19,0.22,0.38,Surprise,Little Dragon
344,dont cry,0.0,0.1,0.0,0.45,0.15,0.3,Surprise,Little Dragon
345,twice,0.0,0.06,0.12,0.44,0.19,0.19,Surprise,Little Dragon
346,looking glass,2.775557561562892e-17,0.1,0.07,0.47,0.23,0.13,Surprise,Little Dragon
347,please turn,0.0,0.1,0.1,0.14,0.29,0.38,Surprise,Little Dragon
348,crystalfilm,0.0,0.0,0.08,0.42,0.21,0.29,Surprise,Little Dragon
349,new fiction,0.0,0.15,0.03,0.58,0.21,0.03,Surprise,Little Dragon
350,hold on,0.0,0.27,0.07,0.33,0.2,0.13,Surprise,Little Dragon
351,my step,0.02,0.12,0.0,0.53,0.18,0.18,Surprise,Little Dragon
352,underbart,0.0,0.06,0.09,0.24,0.24,0.38,Surprise,Little Dragon
353,the pop life,0.0099999999999999,0.07,0.11,0.26,0.22,0.33,Surprise,Little Dragon
354,the man who lives forever,0.01,0.08,0.01,0.12,0.69,0.1,Angry,Lord Huron
355,the balancers eye,0.0,0.13,0.1,0.2,0.27,0.3,Angry,Lord Huron
356,dead mans hand,0.0,0.13,0.09,0.26,0.22,0.3,Angry,Lord Huron
357,frozen pines,0.02,0.11,0.11,0.28,0.33,0.17,Angry,Lord Huron
358,the problem with your daughter,0.0,0.25,0.06,0.12,0.25,0.31,Angry,Lord Huron
359,time to run,0.01,0.02,0.1,0.05,0.56,0.27,Angry,Lord Huron
360,we went wild,0.01,0.47,0.06,0.18,0.06,0.24,Angry,Lord Huron
361,son of a gun,0.005,0.27,0.12,0.21,0.15,0.24,Angry,Lord Huron
362,secret of life,0.0199999999999999,0.0,0.12,0.27,0.25,0.35,Angry,Lord Huron
363,louisa,0.01,0.19,0.06,0.33,0.28,0.14,Angry,Lord Huron
364,the world ender,0.01,0.09,0.06,0.34,0.26,0.26,Angry,Lord Huron
365,in the wind,0.02,0.11,0.05,0.05,0.53,0.26,Angry,Lord Huron
366,fool for love,0.0,0.17,0.07,0.2,0.15,0.41,Angry,Lord Huron
367,i lied,0.02,0.07,0.05,0.22,0.51,0.15,Angry,Lord Huron
368,moonbeam,0.02,0.05,0.05,0.3,0.25,0.35,Angry,Lord Huron
369,mine forever,0.0199999999999999,0.12,0.04,0.2,0.4,0.24,Angry,Lord Huron
370,the yawning grave,0.0049999999999999,0.04,0.04,0.25,0.29,0.39,Angry,Lord Huron
371,ancient names (part ii),0.0,0.08,0.52,0.12,0.2,0.08,Fear,Lord Huron
372,we went wild,0.0,0.47,0.06,0.18,0.06,0.24,Fear,Lord Huron
373,the balancers eye,0.0,0.13,0.1,0.2,0.27,0.3,Fear,Lord Huron
374,in the wind,0.01,0.11,0.05,0.05,0.53,0.26,Fear,Lord Huron
375,the world ender,0.0,0.09,0.06,0.34,0.26,0.26,Fear,Lord Huron
376,dead mans hand,0.0,0.13,0.09,0.26,0.22,0.3,Fear,Lord Huron
377,lonesome dreams,0.0,0.08,0.02,0.28,0.43,0.19,Fear,Lord Huron
378,son of a gun,0.02,0.27,0.12,0.21,0.15,0.24,Fear,Lord Huron
379,she lit a fire,0.0,0.0,0.07,0.07,0.67,0.19,Fear,Lord Huron
380,frozen pines,0.0199999999999999,0.11,0.11,0.28,0.33,0.17,Fear,Lord Huron
381,mine forever,0.02,0.12,0.04,0.2,0.4,0.24,Fear,Lord Huron
382,the problem with your daughter,0.0499999999999999,0.25,0.06,0.12,0.25,0.31,Fear,Lord Huron
383,your other life,0.0,0.18,0.18,0.18,0.18,0.29,Fear,Lord Huron
384,drops in the lake,0.0299999999999999,0.1,0.13,0.29,0.19,0.29,Fear,Lord Huron
385,vide noir,0.0299999999999999,0.04,0.04,0.5,0.14,0.29,Fear,Lord Huron
386,hurricane (johnnies theme),0.0799999999999999,0.06,0.16,0.25,0.22,0.31,Fear,Lord Huron
387,never ever,0.01,0.32,0.0,0.14,0.27,0.27,Fear,Lord Huron
388,ancient names (part ii),0.0,0.08,0.52,0.12,0.2,0.08,Happy,Lord Huron
389,the balancers eye,0.0199999999999999,0.13,0.1,0.2,0.27,0.3,Happy,Lord Huron
390,dead mans hand,0.0,0.13,0.09,0.26,0.22,0.3,Happy,Lord Huron
391,mine forever,0.01,0.12,0.04,0.2,0.4,0.24,Happy,Lord Huron
392,hurricane (johnnies theme),0.0,0.06,0.16,0.25,0.22,0.31,Happy,Lord Huron
393,moonbeam,0.0099999999999999,0.05,0.05,0.3,0.25,0.35,Happy,Lord Huron
394,i lied,0.01,0.07,0.05,0.22,0.51,0.15,Happy,Lord Huron
395,the world ender,0.0099999999999999,0.09,0.06,0.34,0.26,0.26,Happy,Lord Huron
396,not dead yet,0.0,0.04,0.13,0.22,0.26,0.35,Happy,Lord Huron
397,lonesome dreams,0.0,0.08,0.02,0.28,0.43,0.19,Happy,Lord Huron
398,drops in the lake,0.02,0.1,0.13,0.29,0.19,0.29,Happy,Lord Huron
399,in the wind,0.0,0.11,0.05,0.05,0.53,0.26,Happy,Lord Huron
400,vide noir,0.06,0.04,0.04,0.5,0.14,0.29,Happy,Lord Huron
401,the yawning grave,0.0499999999999999,0.04,0.04,0.25,0.29,0.39,Happy,Lord Huron
402,wait by the river,0.04,0.04,0.04,0.17,0.67,0.08,Happy,Lord Huron
403,we went wild,0.3899999999999999,0.47,0.06,0.18,0.06,0.24,Happy,Lord Huron
404,the problem with your daughter,0.18,0.25,0.06,0.12,0.25,0.31,Happy,Lord Huron
405,cursed,0.48,0.1,0.04,0.38,0.38,0.1,,Lord Huron
406,the balancers eye,0.1399999999999999,0.13,0.1,0.2,0.27,0.3,,Lord Huron
407,dead mans hand,0.0,0.13,0.09,0.26,0.22,0.3,,Lord Huron
408,drops in the lake,0.1499999999999999,0.1,0.13,0.29,0.19,0.29,,Lord Huron
409,hurricane (johnnies theme),0.15,0.06,0.16,0.25,0.22,0.31,,Lord Huron
410,not dead yet,0.1899999999999999,0.04,0.13,0.22,0.26,0.35,,Lord Huron
411,the world ender,0.305,0.09,0.06,0.34,0.26,0.26,,Lord Huron
412,mine forever,0.305,0.12,0.04,0.2,0.4,0.24,,Lord Huron
413,secret of life,0.3299999999999999,0.0,0.12,0.27,0.25,0.35,,Lord Huron
414,frozen pines,0.23,0.11,0.11,0.28,0.33,0.17,,Lord Huron
415,moonbeam,0.1999999999999999,0.05,0.05,0.3,0.25,0.35,,Lord Huron
416,the problem with your daughter,0.28,0.25,0.06,0.12,0.25,0.31,,Lord Huron
417,fool for love,0.21,0.17,0.07,0.2,0.15,0.41,,Lord Huron
418,your other life,0.27,0.18,0.18,0.18,0.18,0.29,,Lord Huron
419,the yawning grave,0.29,0.04,0.04,0.25,0.29,0.39,,Lord Huron
420,lonesome dreams,0.3299999999999999,0.08,0.02,0.28,0.43,0.19,,Lord Huron
421,i lied,0.395,0.07,0.05,0.22,0.51,0.15,,Lord Huron
422,the problem with your daughter,0.02,0.25,0.06,0.12,0.25,0.31,Sad,Lord Huron
423,not dead yet,0.0,0.04,0.13,0.22,0.26,0.35,Sad,Lord Huron
424,dead mans hand,0.0,0.13,0.09,0.26,0.22,0.3,Sad,Lord Huron
425,hurricane (johnnies theme),0.01,0.06,0.16,0.25,0.22,0.31,Sad,Lord Huron
426,the yawning grave,0.0,0.04,0.04,0.25,0.29,0.39,Sad,Lord Huron
427,wait by the river,0.0,0.04,0.04,0.17,0.67,0.08,Sad,Lord Huron
428,we went wild,0.0099999999999999,0.47,0.06,0.18,0.06,0.24,Sad,Lord Huron
429,the balancers eye,0.0,0.13,0.1,0.2,0.27,0.3,Sad,Lord Huron
430,son of a gun,0.0399999999999999,0.27,0.12,0.21,0.15,0.24,Sad,Lord Huron
431,i lied,0.0,0.07,0.05,0.22,0.51,0.15,Sad,Lord Huron
432,secret of life,0.03,0.0,0.12,0.27,0.25,0.35,Sad,Lord Huron
433,mine forever,0.0,0.12,0.04,0.2,0.4,0.24,Sad,Lord Huron
434,fool for love,0.0,0.17,0.07,0.2,0.15,0.41,Sad,Lord Huron
435,your other life,0.02,0.18,0.18,0.18,0.18,0.29,Sad,Lord Huron
436,moonbeam,0.0999999999999999,0.05,0.05,0.3,0.25,0.35,Sad,Lord Huron
437,lonesome dreams,0.08,0.08,0.02,0.28,0.43,0.19,Sad,Lord Huron
438,drops in the lake,0.0699999999999999,0.1,0.13,0.29,0.19,0.29,Sad,Lord Huron
439,ancient names (part ii),0.0,0.08,0.52,0.12,0.2,0.08,Surprise,Lord Huron
440,dead mans hand,0.01,0.13,0.09,0.26,0.22,0.3,Surprise,Lord Huron
441,hurricane (johnnies theme),0.0,0.06,0.16,0.25,0.22,0.31,Surprise,Lord Huron
442,the problem with your daughter,0.03,0.25,0.06,0.12,0.25,0.31,Surprise,Lord Huron
443,drops in the lake,0.03,0.1,0.13,0.29,0.19,0.29,Surprise,Lord Huron
444,moonbeam,0.0199999999999999,0.05,0.05,0.3,0.25,0.35,Surprise,Lord Huron
445,the world ender,0.025,0.09,0.06,0.34,0.26,0.26,Surprise,Lord Huron
446,not dead yet,0.03,0.04,0.13,0.22,0.26,0.35,Surprise,Lord Huron
447,twenty long years,0.0,0.0,0.19,0.36,0.24,0.21,Surprise,Lord Huron
448,the balancers eye,0.02,0.13,0.1,0.2,0.27,0.3,Surprise,Lord Huron
449,secret of life,0.0,0.0,0.12,0.27,0.25,0.35,Surprise,Lord Huron
450,the yawning grave,0.0399999999999999,0.04,0.04,0.25,0.29,0.39,Surprise,Lord Huron
451,your other life,0.0099999999999999,0.18,0.18,0.18,0.18,0.29,Surprise,Lord Huron
452,son of a gun,0.05,0.27,0.12,0.21,0.15,0.24,Surprise,Lord Huron
453,vide noir,0.1099999999999999,0.04,0.04,0.5,0.14,0.29,Surprise,Lord Huron
454,mine forever,0.14,0.12,0.04,0.2,0.4,0.24,Surprise,Lord Huron
455,never ever,0.04,0.32,0.0,0.14,0.27,0.27,Surprise,Lord Huron
456,little secrets,0.0,0.15,0.15,0.24,0.29,0.18,Angry,Passion Pit
457,the reeling,0.0,0.17,0.08,0.17,0.21,0.38,Angry,Passion Pit
458,whole life story,0.0,0.03,0.1,0.41,0.21,0.24,Angry,Passion Pit
459,all i want,0.0,0.08,0.08,0.25,0.08,0.5,Angry,Passion Pit
460,where the sky hangs,0.0,0.06,0.06,0.55,0.21,0.12,Angry,Passion Pit
461,to kingdom come,0.0,0.02,0.11,0.41,0.22,0.24,Angry,Passion Pit
462,make light,0.0,0.04,0.07,0.54,0.04,0.32,Angry,Passion Pit
463,moths wings,0.0,0.09,0.09,0.59,0.18,0.05,Angry,Passion Pit
464,where we belong,0.0099999999999999,0.14,0.11,0.25,0.18,0.32,Angry,Passion Pit
465,hideaway,0.03,0.21,0.12,0.21,0.12,0.33,Angry,Passion Pit
466,better things,0.0199999999999999,0.04,0.12,0.24,0.29,0.31,Angry,Passion Pit
467,let your love grow tall,0.03,0.16,0.06,0.19,0.12,0.47,Angry,Passion Pit
468,american blood,0.02,0.18,0.06,0.24,0.06,0.47,Angry,Passion Pit
469,ill be alright,0.0,0.15,0.19,0.33,0.04,0.3,Fear,Passion Pit
470,where we belong,0.0,0.14,0.11,0.25,0.18,0.32,Fear,Passion Pit
471,dreams,0.0,0.12,0.0,0.38,0.25,0.25,Fear,Passion Pit
472,make light,0.0,0.04,0.07,0.54,0.04,0.32,Fear,Passion Pit
473,looks like rain,0.01,0.1,0.29,0.24,0.14,0.24,Fear,Passion Pit
474,carried away,0.0,0.09,0.15,0.38,0.12,0.25,Fear,Passion Pit
475,better things,0.01,0.04,0.12,0.24,0.29,0.31,Fear,Passion Pit
476,whole life story,0.015,0.03,0.1,0.41,0.21,0.24,Fear,Passion Pit
477,eyes as candles,0.0199999999999999,0.02,0.05,0.29,0.36,0.29,Fear,Passion Pit
478,smile upon me,0.0299999999999999,0.46,0.04,0.23,0.0,0.27,Fear,Passion Pit
479,hideaway,0.06,0.21,0.12,0.21,0.12,0.33,Fear,Passion Pit
480,take a walk,0.07,0.1,0.18,0.26,0.1,0.36,Fear,Passion Pit
481,to kingdom come,0.03,0.02,0.11,0.41,0.22,0.24,Fear,Passion Pit
482,little secrets,0.0,0.15,0.15,0.24,0.29,0.18,Happy,Passion Pit
483,the reeling,0.0,0.17,0.08,0.17,0.21,0.38,Happy,Passion Pit
484,moths wings,0.0,0.09,0.09,0.59,0.18,0.05,Happy,Passion Pit
485,all i want,0.0099999999999999,0.08,0.08,0.25,0.08,0.5,Happy,Passion Pit
486,looks like rain,0.01,0.1,0.29,0.24,0.14,0.24,Happy,Passion Pit
487,cuddle fuddle,0.0,0.06,0.06,0.42,0.33,0.12,Happy,Passion Pit
488,carried away,0.0099999999999999,0.09,0.15,0.38,0.12,0.25,Happy,Passion Pit
489,sleepyhead,0.0099999999999999,0.07,0.13,0.47,0.2,0.13,Happy,Passion Pit
490,ill be alright,0.0,0.15,0.19,0.33,0.04,0.3,Happy,Passion Pit
491,where we belong,0.0099999999999999,0.14,0.11,0.25,0.18,0.32,Happy,Passion Pit
492,let your love grow tall,0.01,0.16,0.06,0.19,0.12,0.47,Happy,Passion Pit
493,take a walk,0.0149999999999999,0.1,0.18,0.26,0.1,0.36,Happy,Passion Pit
494,dreams,0.02,0.12,0.0,0.38,0.25,0.25,Happy,Passion Pit
495,where we belong,0.13,0.14,0.11,0.25,0.18,0.32,,Passion Pit
496,the reeling,0.12,0.17,0.08,0.17,0.21,0.38,,Passion Pit
497,carried away,0.1099999999999999,0.09,0.15,0.38,0.12,0.25,,Passion Pit
498,better things,0.1899999999999999,0.04,0.12,0.24,0.29,0.31,,Passion Pit
499,my brother taught me how to swim,0.2299999999999999,0.11,0.15,0.35,0.2,0.19,,Passion Pit
500,whole life story,0.1599999999999999,0.03,0.1,0.41,0.21,0.24,,Passion Pit
501,constant conversations,0.2300000000000001,0.2,0.03,0.31,0.11,0.34,,Passion Pit
502,to kingdom come,0.1649999999999999,0.02,0.11,0.41,0.22,0.24,,Passion Pit
503,ill be alright,0.24,0.15,0.19,0.33,0.04,0.3,,Passion Pit
504,hideaway,0.17,0.21,0.12,0.21,0.12,0.33,,Passion Pit
505,take a walk,0.2699999999999999,0.1,0.18,0.26,0.1,0.36,,Passion Pit
506,looks like rain,0.3249999999999999,0.1,0.29,0.24,0.14,0.24,,Passion Pit
507,dreams,0.24,0.12,0.0,0.38,0.25,0.25,,Passion Pit
508,take a walk,0.0,0.1,0.18,0.26,0.1,0.36,Sad,Passion Pit
509,smile upon me,0.0,0.46,0.04,0.23,0.0,0.27,Sad,Passion Pit
510,dreams,0.0,0.12,0.0,0.38,0.25,0.25,Sad,Passion Pit
511,better things,0.0,0.04,0.12,0.24,0.29,0.31,Sad,Passion Pit
512,eyes as candles,0.02,0.02,0.05,0.29,0.36,0.29,Sad,Passion Pit
513,carried away,0.01,0.09,0.15,0.38,0.12,0.25,Sad,Passion Pit
514,constant conversations,0.02,0.2,0.03,0.31,0.11,0.34,Sad,Passion Pit
515,whole life story,0.0299999999999999,0.03,0.1,0.41,0.21,0.24,Sad,Passion Pit
516,where we belong,0.0399999999999999,0.14,0.11,0.25,0.18,0.32,Sad,Passion Pit
517,all i want,0.01,0.08,0.08,0.25,0.08,0.5,Sad,Passion Pit
518,american blood,0.0,0.18,0.06,0.24,0.06,0.47,Sad,Passion Pit
519,ill be alright,0.04,0.15,0.19,0.33,0.04,0.3,Sad,Passion Pit
520,looks like rain,0.0499999999999999,0.1,0.29,0.24,0.14,0.24,Sad,Passion Pit
521,hideaway,0.01,0.21,0.12,0.21,0.12,0.33,Surprise,Passion Pit
522,the reeling,0.0,0.17,0.08,0.17,0.21,0.38,Surprise,Passion Pit
523,moths wings,0.0,0.09,0.09,0.59,0.18,0.05,Surprise,Passion Pit
524,sleepyhead,0.0,0.07,0.13,0.47,0.2,0.13,Surprise,Passion Pit
525,my brother taught me how to swim,0.02,0.11,0.15,0.35,0.2,0.19,Surprise,Passion Pit
526,carried away,0.0,0.09,0.15,0.38,0.12,0.25,Surprise,Passion Pit
527,constant conversations,0.0099999999999999,0.2,0.03,0.31,0.11,0.34,Surprise,Passion Pit
528,where the sky hangs,0.03,0.06,0.06,0.55,0.21,0.12,Surprise,Passion Pit
529,let your love grow tall,0.0,0.16,0.06,0.19,0.12,0.47,Surprise,Passion Pit
530,take a walk,0.0199999999999999,0.1,0.18,0.26,0.1,0.36,Surprise,Passion Pit
531,somewhere up there,0.01,0.24,0.06,0.21,0.12,0.38,Surprise,Passion Pit
532,looks like rain,0.01,0.1,0.29,0.24,0.14,0.24,Surprise,Passion Pit
533,to kingdom come,0.0,0.02,0.11,0.41,0.22,0.24,Surprise,Passion Pit
534,let it happen,0.0,0.4,0.0,0.25,0.1,0.25,Angry,Tame Impala
535,solitude is bliss,0.0,0.39,0.0,0.18,0.18,0.25,Angry,Tame Impala
536,borderline,0.0,0.35,0.02,0.12,0.13,0.38,Angry,Tame Impala
537,keep on lying,0.0,0.29,0.0,0.14,0.29,0.29,Angry,Tame Impala
538,mind mischief,0.0,0.27,0.06,0.06,0.33,0.27,Angry,Tame Impala
539,elephant,0.0,0.13,0.07,0.4,0.2,0.2,Angry,Tame Impala
540,expectation,0.01,0.06,0.06,0.31,0.36,0.22,Angry,Tame Impala
541,breathe deeper,0.0199999999999999,0.09,0.09,0.53,0.12,0.16,Angry,Tame Impala
542,the less i know the better,0.0,0.22,0.04,0.19,0.33,0.22,Angry,Tame Impala
543,apocalypse dreams,0.0,0.29,0.0,0.21,0.21,0.29,Angry,Tame Impala
544,patience,0.0,0.09,0.05,0.23,0.23,0.41,Angry,Tame Impala
545,cause im a man,0.0,0.25,0.04,0.33,0.08,0.29,Angry,Tame Impala
546,reality in motion,0.0,0.0,0.05,0.54,0.12,0.29,Angry,Tame Impala
547,music to walk home by,0.0,0.22,0.13,0.22,0.22,0.22,Fear,Tame Impala
548,let it happen,0.0,0.4,0.0,0.25,0.1,0.25,Fear,Tame Impala
549,mind mischief,0.0,0.27,0.06,0.06,0.33,0.27,Fear,Tame Impala
550,the less i know the better,0.0,0.22,0.04,0.19,0.33,0.22,Fear,Tame Impala
551,forty one mosquitoes flying in formation,0.0,0.05,0.3,0.2,0.2,0.25,Fear,Tame Impala
552,elephant,0.0,0.13,0.07,0.4,0.2,0.2,Fear,Tame Impala
553,"new person, same old mistakes",0.0,0.04,0.11,0.46,0.2,0.2,Fear,Tame Impala
554,expectation,0.0199999999999999,0.06,0.06,0.31,0.36,0.22,Fear,Tame Impala
555,solitude is bliss,0.03,0.39,0.0,0.18,0.18,0.25,Fear,Tame Impala
556,lost in yesterday,0.0199999999999999,0.14,0.04,0.5,0.07,0.25,Fear,Tame Impala
557,apocalypse dreams,0.0399999999999999,0.29,0.0,0.21,0.21,0.29,Fear,Tame Impala
558,alter ego,0.0199999999999999,0.08,0.46,0.15,0.08,0.23,Fear,Tame Impala
559,cause im a man,0.0,0.25,0.04,0.33,0.08,0.29,Fear,Tame Impala
560,elephant,0.0,0.13,0.07,0.4,0.2,0.2,Happy,Tame Impala
561,solitude is bliss,0.0,0.39,0.0,0.18,0.18,0.25,Happy,Tame Impala
562,mind mischief,0.0,0.27,0.06,0.06,0.33,0.27,Happy,Tame Impala
563,cause im a man,0.0,0.25,0.04,0.33,0.08,0.29,Happy,Tame Impala
564,it is not meant to be,0.0,0.25,0.0,0.29,0.17,0.29,Happy,Tame Impala
565,on track,0.01,0.14,0.06,0.28,0.08,0.44,Happy,Tame Impala
566,lost in yesterday,0.01,0.14,0.04,0.5,0.07,0.25,Happy,Tame Impala
567,sundown syndrome,0.0,0.13,0.22,0.37,0.13,0.15,Happy,Tame Impala
568,patience,0.04,0.09,0.05,0.23,0.23,0.41,Happy,Tame Impala
569,one more year,0.02,0.13,0.0,0.16,0.03,0.68,Happy,Tame Impala
570,lucidity,0.015,0.08,0.23,0.23,0.15,0.31,Happy,Tame Impala
571,breathe deeper,0.04,0.09,0.09,0.53,0.12,0.16,Happy,Tame Impala
572,reality in motion,0.11,0.0,0.05,0.54,0.12,0.29,Happy,Tame Impala
573,it is not meant to be,0.2199999999999999,0.25,0.0,0.29,0.17,0.29,,Tame Impala
574,let it happen,0.01,0.4,0.0,0.25,0.1,0.25,,Tame Impala
575,apocalypse dreams,0.1599999999999999,0.29,0.0,0.21,0.21,0.29,,Tame Impala
576,solitude is bliss,0.22,0.39,0.0,0.18,0.18,0.25,,Tame Impala
577,music to walk home by,0.19,0.22,0.13,0.22,0.22,0.22,,Tame Impala
578,elephant,0.13,0.13,0.07,0.4,0.2,0.2,,Tame Impala
579,"new person, same old mistakes",0.24,0.04,0.11,0.46,0.2,0.2,,Tame Impala
580,sundown syndrome,0.27,0.13,0.22,0.37,0.13,0.15,,Tame Impala
581,the less i know the better,0.27,0.22,0.04,0.19,0.33,0.22,,Tame Impala
582,patience,0.32,0.09,0.05,0.23,0.23,0.41,,Tame Impala
583,lucidity,0.305,0.08,0.23,0.23,0.15,0.31,,Tame Impala
584,cause im a man,0.32,0.25,0.04,0.33,0.08,0.29,,Tame Impala
585,on track,0.31,0.14,0.06,0.28,0.08,0.44,,Tame Impala
586,let it happen,0.01,0.4,0.0,0.25,0.1,0.25,Sad,Tame Impala
587,why wont they talk to me,0.0399999999999999,0.41,0.06,0.29,0.12,0.12,Sad,Tame Impala
588,keep on lying,0.0099999999999999,0.29,0.0,0.14,0.29,0.29,Sad,Tame Impala
589,solitude is bliss,0.0,0.39,0.0,0.18,0.18,0.25,Sad,Tame Impala
590,music to walk home by,0.01,0.22,0.13,0.22,0.22,0.22,Sad,Tame Impala
591,on track,0.01,0.14,0.06,0.28,0.08,0.44,Sad,Tame Impala
592,expectation,0.0399999999999999,0.06,0.06,0.31,0.36,0.22,Sad,Tame Impala
593,sundown syndrome,0.02,0.13,0.22,0.37,0.13,0.15,Sad,Tame Impala
594,apocalypse dreams,0.01,0.29,0.0,0.21,0.21,0.29,Sad,Tame Impala
595,forty one mosquitoes flying in formation,0.0099999999999999,0.05,0.3,0.2,0.2,0.25,Sad,Tame Impala
596,the less i know the better,0.0199999999999999,0.22,0.04,0.19,0.33,0.22,Sad,Tame Impala
597,patience,0.01,0.09,0.05,0.23,0.23,0.41,Sad,Tame Impala
598,lucidity,0.02,0.08,0.23,0.23,0.15,0.31,Sad,Tame Impala
599,it is not meant to be,0.0,0.25,0.0,0.29,0.17,0.29,Surprise,Tame Impala
600,let it happen,0.0,0.4,0.0,0.25,0.1,0.25,Surprise,Tame Impala
601,solitude is bliss,0.0099999999999999,0.39,0.0,0.18,0.18,0.25,Surprise,Tame Impala
602,cause im a man,0.05,0.25,0.04,0.33,0.08,0.29,Surprise,Tame Impala
603,elephant,0.03,0.13,0.07,0.4,0.2,0.2,Surprise,Tame Impala
604,"new person, same old mistakes",0.0,0.04,0.11,0.46,0.2,0.2,Surprise,Tame Impala
605,patience,0.03,0.09,0.05,0.23,0.23,0.41,Surprise,Tame Impala
606,sundown syndrome,0.0499999999999999,0.13,0.22,0.37,0.13,0.15,Surprise,Tame Impala
607,be above it,0.0,0.18,0.0,0.64,0.18,0.0,Surprise,Tame Impala
608,forty one mosquitoes flying in formation,0.02,0.05,0.3,0.2,0.2,0.25,Surprise,Tame Impala
609,half full glass of wine,0.02,0.05,0.4,0.15,0.2,0.2,Surprise,Tame Impala
610,breathe deeper,0.01,0.09,0.09,0.53,0.12,0.16,Surprise,Tame Impala
611,reality in motion,0.01,0.0,0.05,0.54,0.12,0.29,Surprise,Tame Impala
612,mary's song (oh my my my),0.0,0.5,0.05,0.2,0.15,0.1,Angry,Taylor Swift
613,ours,0.0,0.21,0.08,0.3,0.17,0.24,Angry,Taylor Swift
614,the lakes,0.0049999999999999,0.16,0.06,0.26,0.19,0.32,Angry,Taylor Swift
615,you need to calm down,0.0,0.4,0.1,0.27,0.17,0.07,Angry,Taylor Swift
616,coney island,0.0,0.19,0.07,0.35,0.16,0.23,Angry,Taylor Swift
617,sad beautiful tragic,0.0,0.37,0.02,0.25,0.26,0.11,Angry,Taylor Swift
618,'tis the damn season,0.0,0.19,0.03,0.42,0.16,0.19,Angry,Taylor Swift
619,gold rush,0.0049999999999999,0.26,0.08,0.19,0.28,0.19,Angry,Taylor Swift
620,the best day,0.0,0.21,0.05,0.34,0.18,0.21,Angry,Taylor Swift
621,call it what you want,0.01,0.18,0.06,0.24,0.09,0.42,Angry,Taylor Swift
622,22,0.0,0.22,0.06,0.17,0.19,0.36,Angry,Taylor Swift
623,i can do it with a broken heart,0.0199999999999999,0.15,0.09,0.31,0.27,0.18,Angry,Taylor Swift
624,vigilante shit,0.0,0.23,0.06,0.23,0.26,0.23,Angry,Taylor Swift
625,how did it end?,0.0,0.17,0.04,0.33,0.25,0.21,Angry,Taylor Swift
626,the smallest man who ever lived,0.0,0.18,0.11,0.18,0.21,0.32,Angry,Taylor Swift
627,gold rush,0.0,0.26,0.08,0.19,0.28,0.19,Fear,Taylor Swift
628,'tis the damn season,0.0,0.19,0.03,0.42,0.16,0.19,Fear,Taylor Swift
629,snow on the beach,0.0,0.31,0.06,0.31,0.06,0.25,Fear,Taylor Swift
630,the best day,0.0,0.21,0.05,0.34,0.18,0.21,Fear,Taylor Swift
