artist,title,lyrics
Tame Impala,The Less I Know the Better,"162 ContributorsTranslationsFrançaisTürkçeEspañolPortuguêsItalianoDeutschThe Less I Know the Better Lyrics[Verse 1]
Someone said they left together
I ran out the door to get her
She was holding hands with Trevor
Not the greatest feeling ever
Said, ""Pull yourself together
You should try your luck with Heather""
Then I heard they slept together
Oh, the less I know the better
The less I know the better

[Chorus]
Oh, my love, can't you see yourself by my side?
No surprise, leanin' on his shoulder like every night
Oh, my love, can't you see that you're on my mind?
Don't suppose you could convince your lover to change his mind
So goodbye

[Verse 2]
She said, ""It's not now or never
Wait ten years, we'll be together""
I said, ""Better late than never
Just don't make me wait forever""
Don't make me wait forever
Don't make me wait forever
You might also like[Chorus]
Oh, my love, can't you see yourself by my side?
I don't suppose you could convince your lover to change his mind

[Outro]
I was doing fine without ya
'Til I saw your face, now I can't erase
Givin' in to all his bullshit
Is this what you want? Is this who you are?
I was doing fine without ya
'Til I saw your eyes turn away from mine
All sweet talkin', where he wants ya
So, come on, Superman, say your stupid line
So, come on, Superman, say your stupid line
So, come on, Superman, say your stupid line206Embed"
Tame Impala,"New Person, Same Old Mistakes","106 ContributorsTranslationsPortuguêsItalianoFrançaisDeutschفارسیEspañolNew Person, Same Old Mistakes Lyrics[Instrumental Intro]

[Verse 1]
I can just hear them now
""How could you let us down?""
But they don't know what I found
Or see it from this way 'round
Feeling it overtake
All that I used to hate
One by one, every trait
I tried, but it's way too late
All the signs I don't read
Two sides of me can't agree
Will I be in too deep?
Going with what I always longed for

[Chorus]
Feel like a brand-new person
But you'll make the same old mistakes
Well, I don't care, I'm in love
Stop before it's too late
I know…
Feel like a brand-new person
But you'll make the same old mistakes
I finally know what it's like
(You don't have what it takes)
Stop before it's too late
I know there's too much at stake
Making the same mistakes
And I still don't know why it's happening
Stop while it's not too late
And I still don't know…
You might also like[Verse 2]
Finally taking flight
I know you don't think it's right
I know that you think it's fake
Maybe fake's what I like
The point is, I have the right
Not thinkin' in black and white
Thinkin' it's worth the fight
Soon I'll be out of sight
Knowing it all this time
Going with what I always longed for

[Chorus]
Feel like a brand-new person
But you'll make the same old mistakes
Well, I don't care, I'm in love
Stop before it's too late
Feel like a brand-new person
But you'll make the same old mistakes
So how do I know I've gone too far?
(You don't have what it takes)
Stop before it's too late

[Bridge]
Man, I know that it's hard to digest
But maybe your story ain't so different from the rest
And I know it seems wrong to accept
But you've got your demons, and she's got her regrets
Man, I know that it's hard to digest
A realization is as good as a guess
And I know it seems wrong to accept
But you've got your demons, and she's got her regrets
But you've got your demons, and she's got her regrets
[Chorus]
Feel like a brand-new person
So, how will I know that it's right?
In a new direction
So, how will I know I've gone too far?
Stop thinking that the only option was…
Feel like a brand-new person
I finally know what it's like
Stop thinking that the only option was…
In a new direction
So how will I know I've gone too far?
Stop thinking that the only option was…
And I know it's hard to describe
Stop thinking that the only option was…
So how will I know that it's right?118Embed"
Tame Impala,Let It Happen,"124 ContributorsTranslationsEspañolFrançaisDeutschItalianoPortuguêsLet It Happen Lyrics[Verse 1]
It's always around me, all this noise
But not nearly as loud as the voice saying
""Let it happen, let it happen (It's gonna feel so good)
Just let it happen, let it happen""

[Chorus]
All this running around trying to cover my shadow
A notion growing inside, now all the others seem shallow
All this running around bearing down on my shoulders
I can hear an alarm, must be morning

[Verse 2]
I heard about a whirlwind that's coming 'round
It's gonna carry off all that isn't bound
And when it happens, when it happens (I won't be holding on)
So let it happen, let it happen

[Chorus]
All this running around, I can't fight it much longer
Something's trying to get out and it's never been closer
If my take-off fails, make up some other story
But if I never come back, tell my mother I'm sorry
[Instrumental Bridge]
You might also like[Refrain]
I cuh-nuh duh-wuh, you wuh-nuh scri-wih
Try-guh-duh do-wee, try to pun-stoo-wee
You wuh-nuh thinkin' that I wuh-luh do-wee
They be lovin' someone and I wuh-nuh stuh-wee
Take the next ticket to take the next train
Why would I do-wee, eh you wuh tun-tun na
I cuh-nuh duh-wuh, you wuh-nuh scri-wih
Try-guh-duh do-wee, try to pun-stoo-wee
You wuh-nuh thinkin' that I wuh-luh do-wee
They be lovin' someone and I wuh-nuh stuh-wee
Take the next ticket to take the next train
Why would I do-wee, eh you wuh tun-tun

[Bass Guitar Solo]

[Refrain]
I cuh-nuh duh-wuh, you wuh-nuh scri-wih
Try-guh-duh do-wee, try to pun-stoo-wee
You wuh-nuh thinkin' that I wuh-nuh do-wee
They be lovin' someone and I wuh-luh stuh-wee
Take the next ticket to take the next train
Why would I do-wee, eh you wuh tun-tun na

[Outro]
Baby, now I'm ready, moving on
Oh, but maybe I was ready all along
Oh, I'm ready for the moment and the sound
Oh, but maybe I was ready all along
Oh, baby, now I'm ready, moving on
Oh, but maybe I was ready all along
Oh, I'm ready for the moment and the sound
Oh, but maybe I was ready all along
Oh, baby140Embed"
Tame Impala,Yes I’m Changing,"68 ContributorsTranslationsEspañolYes I’m Changing Lyrics[Verse 1]
I was raging, it was late
In the world my demons cultivate
I felt the strangest emotion but it wasn't hate for once
Yes, I'm changing, yes, I'm gone
Yes, I'm older, yes, I'm moving on
And if you don't think it's a crime, you can come along with me
Life is moving, can't you see?
There's no future left for you and me
I was hoping and I was searching endlessly
But baby, now there's nothing left that

[Chorus]
I can do
So don't be blue
There is another future waiting there for you

[Verse 2]
I saw it different, I must admit
I caught a glimpse, I'm going after it
They say people never change but that's bullshit, they do
Yes, I'm changing, can't stop it now
And even if I wanted, I wouldn't know how
Another version of myself I think I've found at last
And I can't always hide away
Curse indulgence and despise the fame
There is a world out there and it's calling my name
And it's calling yours, girl, it's calling
You might also like[Chorus]
Yours too
It's calling yours too
It's calling yours too
It's calling yours too

[Outro]
It's callin' out for you
Arise and walk on through (Time rolls on)
The world beyond that door
Is callin' out for you (Time rolls on)
Arise and walk on through
It's callin' out for you (Listen to it call)
Arise and walk, come through
The world beyond that door (Listen to it call)
Is callin' out for you67Embed"
Tame Impala,Feels Like We Only Go Backwards,"42 ContributorsTranslationsTürkçeEspañolFeels Like We Only Go Backwards Lyrics[Chorus]
It feels like I only go backwards, baby
Every part of me says, ""Go ahead""
I got my hopes up again, oh no, not again
Feels like we only go backwards, darling

[Verse 1]
I know that you think you sound silly when you call my name
But I hear it inside my head all day
When I realise I'm just holding on to the hope that maybe
Your feelings don't show

[Chorus]
It feels like I only go backwards, baby
Every part of me says, ""Go ahead""
I got my hopes up again, oh no, not again
Feels like we only go backwards, darling

[Verse 2]
The seed of all this indecision isn't me, oh no
'Cause I decided long ago
But that's the way it seems to go
When trying so hard to get to something real
It feels

[Chorus]
It feels like I only go backwards, darling
Every part of me says, ""Go ahead""
I got my hopes up again, oh no, not again
Feels like we only go backwards, darling
It feels like I only go backwards, baby
Every part of me says, ""Go ahead""
I got my hopes up again, oh no, not again
Feels like we only go backwards, darling
It feels like I only go backwards, baby
Every part of me says, ""Go ahead""
I got my hopes up again, oh no, not again
Feels like we only go backwards, darlingYou might also like79Embed"
Tame Impala,Borderline,"79 ContributorsTranslationsTürkçeEspañolTame Impala - Borderline (Tradução em Português)ItalianoBorderline Lyrics[Verse 1]
Gone a little far
Gone a little far this time with something
How was I to know?
How was I to know this high came rushing?

[Chorus]
We're on the borderline
Dangerously fine and unforgiven
Possibly a sign
I'm gonna have the strangest night on Sunday

[Verse 2]
Here I go
Quite a show for a loner in L.A.​
I wonder how I managed to end up in this place
Where I couldn't get away

[Chorus]
We're on the borderline (Ooh)
Caught between the tides of pain and rapture
Then I saw the time
Watched it speedin' by like a train
Like a train

[Refrain]
Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?
Will I be known and loved?
Little closer, close enough
I'm a loser, loosen up
Setting free, must be tough
Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?
Will I be so in love?
Any closer? Close enough
Shout out to what is done
R.I.P., here comes the sun
(Comes the sun)
You might also like[Verse 3]
Gone a little far
Gone a little far this time with something
Rudi said it's fine
They used to do this all the time in college (If you and I get comfortable)

[Chorus]
And we're on the borderline (Ooh)
Caught between the tides of pain and rapture
Then I saw the time
Watched it speedin' by like a train

[Refrain]
Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?
Will I be known and loved?
Little closer, close enough
I'm a loser, loosen up
Setting free, must be tough
Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?
Will I be so in love?
Any closer? Close enough
Shout out to what is done
R.I.P., here comes the sun
(Comes the sun)15Embed"
Tame Impala,Borderline (Single Version),"85 ContributorsTranslationsEspañolPortuguêsBorderline (Single Version) Lyrics[Intro]
Ah

[Verse 1]
Gone a little far
Gone a little far this time for something
How was I to know?
How was I to know? This high came rushing

[Refrain]
We're on the borderline
Caught between the tides of pain and rapture
Possibly a sign
I'm gonna have the strangest night on Sunday

[Verse 2]
There I go
Quite a show for a loner in L.A.​
Askin' how I managed to end up in this place
And I couldn't get away

[Refrain]
We're on the borderline
Dangerously far and all forgiven
There's gonna be a fight
Gonna be a price to pay on Monday (If you and I get comfortable)
We're on the borderline (On the borderline)
Caught between the tides of pain and rapture
Then I saw the time (Then I saw the time)
Watched it speedin' by like a train, like a train
You might also like[Chorus]
Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?
Will I be known and loved?
Little closer, close enough
I'm a loser, loosen up
Setting free, must be tough
Will I be known and loved?
Is there one that I trust?
If there's room, room for doubt
As within, as without ya
Will I be so in love?
Any closer? Close enough
Shout out to what is done
R.I.P., here comes the sun
Here comes the sun

[Verse 3]
Gone a little far
Gone a little far this time with something
How could I have known?
How was I to know? This high came rushing
I said, ""Come with me outside""
I need to clear my mind, this weight is crushing
Do you see the light, oh
Coming from their eyes? Oh no
And I couldn't get away
[Refrain]
We're on the borderline (Ooh)
Gets me every time, these close encounters
Just to know I can (Just to know I can)
Once again, I am alone

[Chorus]
Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?
Will I be known and loved?
Little closer, close enough
I'm a loser, loosen up
Setting free, must be tough (I was fine without ya)
Will I be known and loved?
L.A. really messed me up
And it isn't cut and dry
Conversation, well, I tried (I was fine without ya)
Will I be? Stay right here
Any closer? Bad idea
Shout out to what is done
R.I.P., here comes the sun (I was fine without ya)
Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?31Embed"
Tame Impala,Eventually,"54 ContributorsTranslationsFrançaisEspañolTürkçeItalianoEventually Lyrics[Verse 1]
If only there could be another way to do this
'Cause it feels like murder to put your heart through this
I know I always said that I could never hurt you
Well, this is the very very last time I'm ever going to, ah

[Chorus]
But I know that I'll be happier and I know you will too
Said, I know that I'll be happier and I know you will too
Eventually, ah-ah-ah-ah-ah
Eventually, ah-ah-ah-ah-ah

[Verse 2]
Wish I could turn you back into a stranger
'Cause if I was never in your life, you wouldn't have to change it, ah

[Chorus]
But I know that I'll be happier and I know you will too
I said, I know that I'll be happier and I know you will too
Eventually, ah-ah-ah-ah-ah
Eventually, ah-ah-ah-ah-ah
And I know just what I've got to do and it's got to be soon
'Cause I know that I'll be happier and I know you will too
Eventually, ah-ah-ah-ah-ah
Eventually, ah-ah-ah-ah-ah
Eventually, ah-ah-ah-ah-ah
Eventually, ooh-ah-ah
Eventually, ah-ah-ah-ah-ah
Eventually, ah-ah-ah-ah-ah
Eventually
(Eventually)
You might also like[Instrumental Outro]63Embed"
Tame Impala,’Cause I’m a Man,"91 ContributorsTranslationsEspañol’Cause I’m a Man Lyrics[Verse 1]
Like the brutal morning sun
It dawns on me, what have I done?
Saying sorry ain't as good as saying why
But it buys me a little more time
Lost in the moment for the second time
Each fuck up that I make, that makes you cry
I'm as pathetic, as the reason why
In desperation, all that you can do is ask me why

[Chorus]
‘Cause I'm a man, woman
Don't always think before I do
‘Cause I'm a man, woman
That's the only answer I got for you (Uh)
‘Cause I'm a man, woman
Not often proud of what I choose
I'm a human, woman
A greater force I answer to

[Verse 2]
Once again, as it takes a hold
I am aware, not in control
You see, I have a conscience and it's never fooled
But it's prone to be overruled
You wanna know why I always think I’m right?
(Why?) You never accept defeat and let it slide
(Why?) I have no voice if I don’t speak my mind
(Why?) My weakness is the source of all my pride
I'll tell you why
You might also like[Chorus]
‘Cause I'm a man, woman
Don't always think before I do
‘Cause I'm a man, woman
It's the only answer I got for you (Uh)
‘Cause I'm a man, woman
Not often proud of what I choose
I'm a human, woman
A greater force I answer to
I'll never be as strong as you
I'm a human, human
A greater force I answer to (Uh)61Embed"
Tame Impala,Posthumous Forgiveness,"86 ContributorsTranslationsTürkçeEspañolItalianoTame Impala - Posthumous Forgiveness (Tradução em Português)Posthumous Forgiveness Lyrics[Part I]

[Verse 1]
Ever since I was a small boy
No one else compared to you, no way
I always thought heroes stayed close
Whenever troubled times arose
I didn't know
Ain't always how it goes

[Verse 2]
Every single word you told me
I believed without a question, always
To save all of us, you told us both to trust
But now I know you only saved yourself

[Chorus]
Did you think I'd never know?
Never wise up as I grow?

[Instrumental]

[Bridge]
And you could store an ocean in the holes
In any of the explanations that you gave
And while you still had time, you had a chance
But you decided to take all your sorrys to the grave
You might also like[Chorus]
Did you think I'd never know?
Never wise up as I grow?
Did you hope I'd never doubt?
Never one day work it out?
[Part II]

[Verse 3]
You were runnin' for cover
Doin' like any other
Fallin' out with a lover
You didn't know that I suffered
What a thing to discover
If there was time to recover
One-on-one with each other
Just a boy and a father
What I'd give for another
Everything that I have
Wouldn't need this for long
Never speak of the time
That you left us alone
Me and Steve on our own

[Refrain]
I wanna tell you 'bout the time
Wanna tell you 'bout my life
Wanna play you all my songs
Learn the words, sing along
[Verse 4]
(This time) Wanna tell you 'bout the time
(I know) I was in Abbey Road
Or the time that I had
Mick Jagger on the phone
I thought of you when we spoke

[Refrain]
Wanna tell you 'bout the time
Wanna tell you 'bout my life
Wanna play you all my songs
Hear your voice sing along

[Verse 5]
(This time) I wanna say, ""It's all right""
(I know) You're just a man after all
And I know you had demons
I got some of my own
I think you passed them along

[Refrain]
Wanna tell you 'bout the time
Wanna tell you 'bout my life
Wanna play you all my songs
And hear your voice sing along49Embed"
