name,happy,fear,angry,sad,surprise,Closeness_Score,Iteration,Emotion,ArtistName,
Wolf Like Me,0.1,0.21,0.08,0.25,0.35,0.24,12,None,TV on the Radio,
A Method,0.06,0.24,0.21,0.24,0.26,0.28,12,None,TV on the Radio,
Repetition,0.07,0.49,0.05,0.12,0.27,0.33,12,None,TV on the Radio,
Blind,0.25,0.29,0.07,0.11,0.29,0.34,12,None,TV on the Radio,
Ambulance,0.25,0.2,0.05,0.25,0.25,0.35,12,None,TV on the Radio,
Test Pilot,0.25,0.28,0,0.25,0.22,0.35,12,None,TV on the Radio,
Snakes and Martyrs,0.12,0.28,0.09,0.38,0.12,0.38,12,None,TV on the Radio,
Stork & Owl,0.09,0.38,0.09,0.38,0.06,0.43,12,None,TV on the Radio,
Let the Devil In,0.11,0.14,0.08,0.19,0.47,0.44,12,None,TV on the Radio,
Seeds,0.15,0.15,0.05,0.41,0.24,0.47,12,None,TV on the Radio,
Trouble,0.09,0.13,0.07,0.47,0.24,0.49,12,None,TV on the Radio,
Forgotten,0.35,0.29,0.1,0.19,0.06,0.54,12,None,TV on the Radio,
What the Water Gave Me,0.14,0.29,0.05,0.33,0.19,0.07,1,None,Florence + the Machine,
100 Years,0.09,0.33,0.04,0.39,0.15,0.17,1,None,Florence + the Machine,
Leave My Body,0.02,0.31,0.06,0.33,0.27,0.22,1,None,Florence + the Machine,
Free,0.2,0.3,0.07,0.3,0.14,0.22,1,None,Florence + the Machine,
Prayer Factory,0.08,0.23,0.15,0.31,0.23,0.25,1,None,Florence + the Machine,
Heaven Is Here,0.1,0.24,0.1,0.29,0.29,0.25,1,None,Florence + the Machine,
Breath of Life,0.17,0.4,0,0.27,0.17,0.28,1,None,Florence + the Machine,
Big God,0.24,0.24,0,0.28,0.24,0.31,1,None,Florence + the Machine,
South London Forever,0.11,0.32,0.18,0.21,0.18,0.31,1,None,Florence + the Machine,
Ship to Wreck,0.11,0.17,0.03,0.51,0.18,0.33,1,None,Florence + the Machine,
Sky Full of Song,0.07,0.27,0.23,0.33,0.1,0.35,1,None,Florence + the Machine,
Rabbit Heart (Raise It Up),0.07,0.27,0.07,0.23,0.37,0.36,1,None,Florence + the Machine,
Long & Lost,0.07,0.26,0.02,0.56,0.09,0.41,1,None,Florence + the Machine,
Girl With One Eye,0.09,0.16,0,0.34,0.41,0.41,1,None,Florence + the Machine,
St Jude,0.11,0.11,0.04,0.52,0.22,0.43,1,None,Florence + the Machine,
Dream Girl Evil,0.06,0.14,0.03,0.31,0.46,0.47,1,None,Florence + the Machine,
Bedroom Hymns,0.14,0.25,0,0.14,0.46,0.56,1,None,Florence + the Machine,
100 Years,0.09,0.33,0.04,0.39,0.15,0.17,2,None,Florence + the Machine,
Free,0.2,0.3,0.07,0.3,0.14,0.2,2,None,Florence + the Machine,
Leave My Body,0.02,0.31,0.06,0.33,0.27,0.22,2,None,Florence + the Machine,
"How Big, How Blue, How Beautiful",0.21,0.23,0.09,0.3,0.17,0.25,2,None,Florence + the Machine,
Prayer Factory,0.08,0.23,0.15,0.31,0.23,0.25,2,None,Florence + the Machine,
Heaven Is Here,0.1,0.24,0.1,0.29,0.29,0.25,2,None,Florence + the Machine,
Breath of Life,0.17,0.4,0,0.27,0.17,0.28,2,None,Florence + the Machine,
South London Forever,0.11,0.32,0.18,0.21,0.18,0.29,2,None,Florence + the Machine,
Big God,0.24,0.24,0,0.28,0.24,0.31,2,None,Florence + the Machine,
Ship to Wreck,0.11,0.17,0.03,0.51,0.18,0.33,2,None,Florence + the Machine,
My Best Dress,0.16,0.41,0.03,0.34,0.06,0.33,2,None,Florence + the Machine,
Sky Full of Song,0.07,0.27,0.23,0.33,0.1,0.35,2,None,Florence + the Machine,
Rabbit Heart (Raise It Up),0.07,0.27,0.07,0.23,0.37,0.36,2,None,Florence + the Machine,
If I Had a Heart,0.26,0.31,0.09,0.16,0.19,0.38,2,None,Florence + the Machine,
St Jude,0.11,0.11,0.04,0.52,0.22,0.41,2,None,Florence + the Machine,
Girl With One Eye,0.09,0.16,0,0.34,0.41,0.43,2,None,Florence + the Machine,
Long & Lost,0.07,0.26,0.02,0.56,0.09,0.43,2,None,Florence + the Machine,
Dream Girl Evil,0.06,0.14,0.03,0.31,0.46,0.49,2,None,Florence + the Machine,
Bedroom Hymns,0.14,0.25,0,0.14,0.46,0.56,2,None,Florence + the Machine,
Hurricane Drunk,0.1,0.19,0.1,0.32,0.29,0.1,3,None,Florence + the Machine,
Heaven Is Here,0.1,0.24,0.1,0.29,0.29,0.18,3,None,Florence + the Machine,
Girl With One Eye,0.09,0.16,0,0.34,0.41,0.2,3,None,Florence + the Machine,
Howl,0.13,0.2,0,0.4,0.27,0.2,3,None,Florence + the Machine,
Leave My Body,0.02,0.31,0.06,0.33,0.27,0.25,3,None,Florence + the Machine,
Dream Girl Evil,0.06,0.14,0.03,0.31,0.46,0.26,3,None,Florence + the Machine,
Lover to Lover,0.2,0.2,0.07,0.23,0.3,0.28,3,None,Florence + the Machine,
Girls Against God,0.07,0.18,0.2,0.24,0.31,0.3,3,None,Florence + the Machine,
Ship to Wreck,0.11,0.17,0.03,0.51,0.18,0.32,3,None,Florence + the Machine,
Big God,0.24,0.24,0,0.28,0.24,0.34,3,None,Florence + the Machine,
Breaking Down,0.07,0.18,0.04,0.21,0.5,0.36,3,None,Florence + the Machine,
Patricia,0.3,0.21,0.02,0.19,0.28,0.4,3,None,Florence + the Machine,
Between Two Lungs,0.06,0.17,0.03,0.14,0.61,0.55,3,None,Florence + the Machine,
Back in Town,0.12,0.18,0.35,0.35,0,0.66,3,None,Florence + the Machine,
Heaven Is Here,0.1,0.24,0.1,0.29,0.29,0.13,4,None,Florence + the Machine,
Leave My Body,0.02,0.31,0.06,0.33,0.27,0.16,4,None,Florence + the Machine,
Prayer Factory,0.08,0.23,0.15,0.31,0.23,0.17,4,None,Florence + the Machine,
Rabbit Heart (Raise It Up),0.07,0.27,0.07,0.23,0.37,0.22,4,None,Florence + the Machine,
Free,0.2,0.3,0.07,0.3,0.14,0.26,4,None,Florence + the Machine,
Big God,0.24,0.24,0,0.28,0.24,0.27,4,None,Florence + the Machine,
"How Big, How Blue, How Beautiful",0.21,0.23,0.09,0.3,0.17,0.27,4,None,Florence + the Machine,
Grace,0.12,0.17,0.1,0.42,0.2,0.34,4,None,Florence + the Machine,
Sky Full of Song,0.07,0.27,0.23,0.33,0.1,0.37,4,None,Florence + the Machine,
Dream Girl Evil,0.06,0.14,0.03,0.31,0.46,0.41,4,None,Florence + the Machine,
St Jude,0.11,0.11,0.04,0.52,0.22,0.45,4,None,Florence + the Machine,
Long & Lost,0.07,0.26,0.02,0.56,0.09,0.49,4,None,Florence + the Machine,
Which Witch,0.07,0.04,0.11,0.34,0.45,0.54,4,None,Florence + the Machine,
Rabbit Heart (Raise It Up),0.07,0.27,0.07,0.23,0.37,0.12,5,None,Florence + the Machine,
Never Let Me Go,0.15,0.34,0.05,0.2,0.27,0.18,5,None,Florence + the Machine,
Lover to Lover,0.2,0.2,0.07,0.23,0.3,0.21,5,None,Florence + the Machine,
Leave My Body,0.02,0.31,0.06,0.33,0.27,0.22,5,None,Florence + the Machine,
Shake It Out,0.1,0.35,0.12,0.15,0.28,0.23,5,None,Florence + the Machine,
Prayer Factory,0.08,0.23,0.15,0.31,0.23,0.25,5,None,Florence + the Machine,
All This and Heaven Too,0.02,0.28,0.21,0.19,0.3,0.29,5,None,Florence + the Machine,
Girls Against God,0.07,0.18,0.2,0.24,0.31,0.29,5,None,Florence + the Machine,
South London Forever,0.11,0.32,0.18,0.21,0.18,0.29,5,None,Florence + the Machine,
Drumming Song,0,0.44,0.07,0.2,0.28,0.3,5,None,Florence + the Machine,
Patricia,0.3,0.21,0.02,0.19,0.28,0.37,5,None,Florence + the Machine,
Breaking Down,0.07,0.18,0.04,0.21,0.5,0.39,5,None,Florence + the Machine,
Long & Lost,0.07,0.26,0.02,0.56,0.09,0.59,5,None,Florence + the Machine,
Cassandra,0.06,0.03,0.03,0.24,0.64,0.69,5,None,Florence + the Machine,
Never Let Me Go,0.15,0.34,0.05,0.2,0.27,0.16,6,None,Florence + the Machine,
Lover to Lover,0.2,0.2,0.07,0.23,0.3,0.17,6,None,Florence + the Machine,
Mermaids,0.32,0.22,0.08,0.19,0.19,0.25,6,None,Florence + the Machine,
Flakes,0.16,0.23,0.23,0.13,0.26,0.26,6,None,Florence + the Machine,
Patricia,0.3,0.21,0.02,0.19,0.28,0.27,6,None,Florence + the Machine,
If I Had a Heart,0.26,0.31,0.09,0.16,0.19,0.3,6,None,Florence + the Machine,
"No Light, No Light",0.19,0.13,0.2,0.24,0.24,0.31,6,None,Florence + the Machine,
Shake It Out,0.1,0.35,0.12,0.15,0.28,0.31,6,None,Florence + the Machine,
Howl,0.13,0.2,0,0.4,0.27,0.35,6,None,Florence + the Machine,
Grace,0.12,0.17,0.1,0.42,0.2,0.38,6,None,Florence + the Machine,
Drumming Song,0,0.44,0.07,0.2,0.28,0.4,6,None,Florence + the Machine,
St Jude,0.11,0.11,0.04,0.52,0.22,0.53,6,None,Florence + the Machine,
Daffodil,0.15,0.05,0.1,0.5,0.2,0.55,6,None,Florence + the Machine,
Lover to Lover,0.2,0.2,0.07,0.23,0.3,0.06,7,None,Florence + the Machine,
Patricia,0.3,0.21,0.02,0.19,0.28,0.18,7,None,Florence + the Machine,
Big God,0.24,0.24,0,0.28,0.24,0.24,7,None,Florence + the Machine,
Mermaids,0.32,0.22,0.08,0.19,0.19,0.26,7,None,Florence + the Machine,
"How Big, How Blue, How Beautiful",0.21,0.23,0.09,0.3,0.17,0.26,7,None,Florence + the Machine,
"No Light, No Light",0.19,0.13,0.2,0.24,0.24,0.28,7,None,Florence + the Machine,
Flakes,0.16,0.23,0.23,0.13,0.26,0.33,7,None,Florence + the Machine,
Girls Against God,0.07,0.18,0.2,0.24,0.31,0.36,7,None,Florence + the Machine,
Breaking Down,0.07,0.18,0.04,0.21,0.5,0.4,7,None,Florence + the Machine,
Drumming Song,0,0.44,0.07,0.2,0.28,0.47,7,None,Florence + the Machine,
"No Light, No Light",0.19,0.13,0.2,0.24,0.24,0.26,8,None,Florence + the Machine,
Howl,0.13,0.2,0,0.4,0.27,0.28,8,None,Florence + the Machine,
Mermaids,0.32,0.22,0.08,0.19,0.19,0.3,8,None,Florence + the Machine,
Patricia,0.3,0.21,0.02,0.19,0.28,0.3,8,None,Florence + the Machine,
Grace,0.12,0.17,0.1,0.42,0.2,0.31,8,None,Florence + the Machine,
Flakes,0.16,0.23,0.23,0.13,0.26,0.33,8,None,Florence + the Machine,
Shake It Out,0.1,0.35,0.12,0.15,0.28,0.36,8,None,Florence + the Machine,
Breaking Down,0.07,0.18,0.04,0.21,0.5,0.4,8,None,Florence + the Machine,
Hunger,0.15,0.17,0.04,0.13,0.5,0.43,8,None,Florence + the Machine,
Ship to Wreck,0.11,0.17,0.03,0.51,0.18,0.44,8,None,Florence + the Machine,
Drumming Song,0,0.44,0.07,0.2,0.28,0.45,8,None,Florence + the Machine,
St Jude,0.11,0.11,0.04,0.52,0.22,0.46,8,None,Florence + the Machine,
Daffodil,0.15,0.05,0.1,0.5,0.2,0.5,8,None,Florence + the Machine,
Prayer Factory,0.08,0.23,0.15,0.31,0.23,0.11,9,None,Florence + the Machine,
"How Big, How Blue, How Beautiful",0.21,0.23,0.09,0.3,0.17,0.21,9,None,Florence + the Machine,
Leave My Body,0.02,0.31,0.06,0.33,0.27,0.22,9,None,Florence + the Machine,
Big God,0.24,0.24,0,0.28,0.24,0.25,9,None,Florence + the Machine,
Howl,0.13,0.2,0,0.4,0.27,0.27,9,None,Florence + the Machine,
Grace,0.12,0.17,0.1,0.42,0.2,0.28,9,None,Florence + the Machine,
St Jude,0.11,0.11,0.04,0.52,0.22,0.39,9,None,Florence + the Machine,
Sky Full of Song,0.07,0.27,0.23,0.33,0.1,0.39,9,None,Florence + the Machine,
Dream Girl Evil,0.06,0.14,0.03,0.31,0.46,0.39,9,None,Florence + the Machine,
Mermaids,0.32,0.22,0.08,0.19,0.19,0.41,9,None,Florence + the Machine,
Long & Lost,0.07,0.26,0.02,0.56,0.09,0.49,9,None,Florence + the Machine,
Which Witch,0.07,0.04,0.11,0.34,0.45,0.52,9,None,Florence + the Machine,
Big God,0.24,0.24,0,0.28,0.24,0.25,10,None,Florence + the Machine,
Howl,0.13,0.2,0,0.4,0.27,0.25000001,10,None,Florence + the Machine,
Girls Against God,0.07,0.18,0.2,0.24,0.31,0.29,10,None,Florence + the Machine,
Patricia,0.3,0.21,0.02,0.19,0.28,0.31,10,None,Florence + the Machine,
Grace,0.12,0.17,0.1,0.42,0.2,0.32,10,None,Florence + the Machine,
Breaking Down,0.07,0.18,0.04,0.21,0.5,0.35,10,None,Florence + the Machine,
Mermaids,0.32,0.22,0.08,0.19,0.19,0.37,10,None,Florence + the Machine,
Ship to Wreck,0.11,0.17,0.03,0.51,0.18,0.37,10,None,Florence + the Machine,
Girl With One Eye,0.09,0.16,0,0.34,0.41,0.37,10,None,Florence + the Machine,
St Jude,0.11,0.11,0.04,0.52,0.22,0.39,10,None,Florence + the Machine,
Flakes,0.16,0.23,0.23,0.13,0.26,0.4,10,None,Florence + the Machine,
Hunger,0.15,0.17,0.04,0.13,0.5,0.44,10,None,Florence + the Machine,
Bedroom Hymns,0.14,0.25,0,0.14,0.46,0.44,10,None,Florence + the Machine,
Drumming Song,0,0.44,0.07,0.2,0.28,0.46,10,None,Florence + the Machine,
Between Two Lungs,0.06,0.17,0.03,0.14,0.61,0.56,10,None,Florence + the Machine,
Cassandra,0.06,0.03,0.03,0.24,0.64,0.63,10,None,Florence + the Machine,
Mermaids,0.32,0.22,0.08,0.19,0.19,0.28,11,None,Florence + the Machine,
Grace,0.12,0.17,0.1,0.42,0.2,0.33,11,None,Florence + the Machine,
If I Had a Heart,0.26,0.31,0.09,0.16,0.19,0.34,11,None,Florence + the Machine,
South London Forever,0.11,0.32,0.18,0.21,0.18,0.34,11,None,Florence + the Machine,
No Choir,0.15,0.1,0.2,0.2,0.35,0.36,11,None,Florence + the Machine,
Are You Hurting the One You Love?,0.4,0.14,0.05,0.26,0.16,0.38,11,None,Florence + the Machine,
Shake It Out,0.1,0.35,0.12,0.15,0.28,0.43,11,None,Florence + the Machine,
Ship to Wreck,0.11,0.17,0.03,0.51,0.18,0.44,11,None,Florence + the Machine,
Hunger,0.15,0.17,0.04,0.13,0.5,0.46,11,None,Florence + the Machine,
Daffodil,0.15,0.05,0.1,0.5,0.2,0.46,11,None,Florence + the Machine,
St Jude,0.11,0.11,0.04,0.52,0.22,0.48,11,None,Florence + the Machine,
Breaking Down,0.07,0.18,0.04,0.21,0.5,0.5,11,None,Florence + the Machine,
Hardest of Hearts,0.17,0.12,0.03,0.57,0.1,0.56,11,None,Florence + the Machine,
Bird Song Intro,0,0.19,0.06,0.57,0.17,0.6,11,None,Florence + the Machine,
Bird Song,0,0.19,0.06,0.57,0.17,0.6,11,None,Florence + the Machine,
Between Two Lungs,0.06,0.17,0.03,0.14,0.61,0.64,11,None,Florence + the Machine,
Donkey Kosh,0.12,0.12,0.12,0.65,0,0.72,11,None,Florence + the Machine,
Grace,0.12,0.17,0.1,0.42,0.2,0.29,12,None,Florence + the Machine,
Are You Hurting the One You Love?,0.4,0.14,0.05,0.26,0.16,0.33,12,None,Florence + the Machine,
No Choir,0.15,0.1,0.2,0.2,0.35,0.36,12,None,Florence + the Machine,
South London Forever,0.11,0.32,0.18,0.21,0.18,0.36,12,None,Florence + the Machine,
Ship to Wreck,0.11,0.17,0.03,0.51,0.18,0.4,12,None,Florence + the Machine,
Daffodil,0.15,0.05,0.1,0.5,0.2,0.4,12,None,Florence + the Machine,
Breath of Life,0.17,0.4,0,0.27,0.17,0.41,12,None,Florence + the Machine,
St Jude,0.11,0.11,0.04,0.52,0.22,0.42,12,None,Florence + the Machine,
Hunger,0.15,0.17,0.04,0.13,0.5,0.47,12,None,Florence + the Machine,
Breaking Down,0.07,0.18,0.04,0.21,0.5,0.48,12,None,Florence + the Machine,
Hardest of Hearts,0.17,0.12,0.03,0.57,0.1,0.51,12,None,Florence + the Machine,
Bird Song Intro,0,0.19,0.06,0.57,0.17,0.57,12,None,Florence + the Machine,
Bird Song,0,0.19,0.06,0.57,0.17,0.57,12,None,Florence + the Machine,
Donkey Kosh,0.12,0.12,0.12,0.65,0,0.71,12,None,Florence + the Machine,
Falling,0.18,0.29,0.14,0.14,0.25,0.22,13,None,Florence + the Machine,
South London Forever,0.11,0.32,0.18,0.21,0.18,0.24,13,None,Florence + the Machine,
Free,0.2,0.3,0.07,0.3,0.14,0.25,13,None,Florence + the Machine,
"How Big, How Blue, How Beautiful",0.21,0.23,0.09,0.3,0.17,0.26,13,None,Florence + the Machine,
Blinding,0.28,0.3,0.11,0.11,0.19,0.27,13,None,Florence + the Machine,
Shake It Out,0.1,0.35,0.12,0.15,0.28,0.3,13,None,Florence + the Machine,
Flakes,0.16,0.23,0.23,0.13,0.26,0.33,13,None,Florence + the Machine,
Bedroom Hymns,0.14,0.25,0,0.14,0.46,0.41,13,None,Florence + the Machine,
Hunger,0.15,0.17,0.04,0.13,0.5,0.49,13,None,Florence + the Machine,
Ship to Wreck,0.11,0.17,0.03,0.51,0.18,0.52,13,None,Florence + the Machine,
Daffodil,0.15,0.05,0.1,0.5,0.2,0.58,13,None,Florence + the Machine,
St Jude,0.11,0.11,0.04,0.52,0.22,0.6,13,None,Florence + the Machine,
Mary's Song (Oh My My My),0.5,0.1,0.05,0.2,0.15,0,1,Angry,Taylor Swift,
The Great War,0.21,0.21,0.05,0.34,0.18,0.0001,1,Angry,Taylor Swift,
The Best Day,0.21,0.21,0.05,0.34,0.18,0.0001,1,Angry,Taylor Swift,
Karma,0.23,0.27,0.05,0.27,0.18,0.0001,1,Angry,Taylor Swift,
cowboy like me,0.23,0.37,0.05,0.14,0.21,0.0001,1,Angry,Taylor Swift,
22,0.22,0.36,0.06,0.17,0.19,0.01,1,Angry,Taylor Swift,
Vigilante Shit,0.23,0.23,0.06,0.23,0.26,0.01,1,Angry,Taylor Swift,
the lakes,0.16,0.32,0.06,0.26,0.19,0.01,1,Angry,Taylor Swift,
ME!,0.19,0.03,0.04,0.19,0.55,0.01,1,Angry,Taylor Swift,
You Belong With Me,0.44,0.18,0.04,0.22,0.11,0.01,1,Angry,Taylor Swift,
Fresh Out the Slammer,0.26,0.37,0.04,0.22,0.11,0.01,1,Angry,Taylor Swift,
coney island,0.19,0.23,0.07,0.35,0.16,0.02,1,Angry,Taylor Swift,
'tis the damn season,0.19,0.19,0.03,0.42,0.16,0.02,1,Angry,Taylor Swift,
Begin Again,0.21,0.15,0.03,0.23,0.38,0.02,1,Angry,Taylor Swift,
Cruel Summer,0.24,0.18,0.03,0.26,0.29,0.02,1,Angry,Taylor Swift,
...Ready for It?,0.25,0.11,0.07,0.36,0.21,0.02,1,Angry,Taylor Swift,
Lover,0.24,0.28,0.03,0.31,0.14,0.02,1,Angry,Taylor Swift,
Fortnight,0.15,0.18,0.03,0.49,0.15,0.02,1,Angry,Taylor Swift,
The Way I Loved You,0.47,0.07,0.03,0.22,0.21,0.02,1,Angry,Taylor Swift,
Dancing With Our Hands Tied,0.28,0.2,0.08,0.32,0.12,0.03,1,Angry,Taylor Swift,
Ours,0.21,0.24,0.08,0.3,0.17,0.03,1,Angry,Taylor Swift,
gold rush,0.26,0.19,0.08,0.19,0.28,0.03,1,Angry,Taylor Swift,
Tim McGraw,0.22,0.48,0.02,0.22,0.07,0.03,1,Angry,Taylor Swift,
Back to December,0.26,0.21,0.02,0.23,0.28,0.03,1,Angry,Taylor Swift,
I Think He Knows,0.33,0.2,0.02,0.29,0.16,0.03,1,Angry,Taylor Swift,
Innocent,0.18,0.18,0.09,0.33,0.22,0.04,1,Angry,Taylor Swift,
Teardrops on My Guitar,0.27,0.3,0,0.27,0.17,0.05,1,Angry,Taylor Swift,
Invisible,0.32,0.24,0,0.28,0.16,0.05,1,Angry,Taylor Swift,
Down Bad,0.5,0.15,0.1,0.25,0,0.05,1,Angry,Taylor Swift,
My Boy Only Breaks His Favorite Toys,0.27,0.3,0,0.24,0.19,0.05,1,Angry,Taylor Swift,
tolerate it,0.23,0.14,0.14,0.19,0.3,0.09,1,Angry,Taylor Swift,
Love Story,0.26,0.15,0.15,0.24,0.21,0.1,1,Angry,Taylor Swift,
Superman,0.26,0.16,0.32,0.09,0.18,0.27,1,Angry,Taylor Swift,
Super Bass,0.26,0.16,0.32,0.09,0.18,0.27,1,Angry,Taylor Swift,
Ours,0.21,0.24,0.08,0.3,0.17,0,2,Angry,Taylor Swift,
coney island,0.19,0.23,0.07,0.35,0.16,0.01,2,Angry,Taylor Swift,
Innocent,0.18,0.18,0.09,0.33,0.22,0.01,2,Angry,Taylor Swift,
The Best Day,0.21,0.21,0.05,0.34,0.18,0.03,2,Angry,Taylor Swift,
The Great War,0.21,0.21,0.05,0.34,0.18,0.03,2,Angry,Taylor Swift,
Peter,0.18,0.12,0.12,0.44,0.15,0.04,2,Angry,Taylor Swift,
Tied Together With a Smile,0.23,0.11,0.03,0.4,0.23,0.05,2,Angry,Taylor Swift,
'tis the damn season,0.19,0.19,0.03,0.42,0.16,0.05,2,Angry,Taylor Swift,
Fortnight,0.15,0.18,0.03,0.49,0.15,0.05,2,Angry,Taylor Swift,
the lakes,0.16,0.32,0.06,0.26,0.19,0.005,3,Angry,Taylor Swift,
State of Grace,0.17,0.28,0.05,0.33,0.17,0.0050001,3,Angry,Taylor Swift,
Blank Space,0.17,0.29,0.05,0.18,0.31,0.0050001,3,Angry,Taylor Swift,
Snow on the Beach,0.31,0.25,0.06,0.31,0.06,0.0050001,3,Angry,Taylor Swift,
Call It What You Want,0.18,0.42,0.06,0.24,0.09,0.0050001,3,Angry,Taylor Swift,
Karma,0.23,0.27,0.05,0.27,0.18,0.0050001,3,Angry,Taylor Swift,
Vigilante Shit,0.23,0.23,0.06,0.23,0.26,0.0050001,3,Angry,Taylor Swift,
The Best Day,0.21,0.21,0.05,0.34,0.18,0.0050001,3,Angry,Taylor Swift,
The Great War,0.21,0.21,0.05,0.34,0.18,0.0050001,3,Angry,Taylor Swift,
How Did It End?,0.17,0.21,0.04,0.33,0.25,0.015,3,Angry,Taylor Swift,
coney island,0.19,0.23,0.07,0.35,0.16,0.015,3,Angry,Taylor Swift,
"no body, no crime",0.16,0.54,0.03,0.24,0.03,0.025,3,Angry,Taylor Swift,
The Story of Us,0.15,0.33,0.03,0.24,0.24,0.025,3,Angry,Taylor Swift,
'tis the damn season,0.19,0.19,0.03,0.42,0.16,0.025,3,Angry,Taylor Swift,
Lover,0.24,0.28,0.03,0.31,0.14,0.025,3,Angry,Taylor Swift,
The Way I Loved You,0.47,0.07,0.03,0.22,0.21,0.025,3,Angry,Taylor Swift,
Innocent,0.18,0.18,0.09,0.33,0.22,0.035,3,Angry,Taylor Swift,
Fifteen,0.24,0.29,0.09,0.15,0.24,0.035,3,Angry,Taylor Swift,
I Can Do It With a Broken Heart,0.15,0.18,0.09,0.31,0.27,0.035,3,Angry,Taylor Swift,
Back to December,0.26,0.21,0.02,0.23,0.28,0.035,3,Angry,Taylor Swift,
I Think He Knows,0.33,0.2,0.02,0.29,0.16,0.035,3,Angry,Taylor Swift,
champagne problems,0.15,0.44,0.02,0.31,0.08,0.035,3,Angry,Taylor Swift,
You Need to Calm Down,0.4,0.07,0.1,0.27,0.17,0.045,3,Angry,Taylor Swift,
My Boy Only Breaks His Favorite Toys,0.27,0.3,0,0.24,0.19,0.055,3,Angry,Taylor Swift,
Teardrops on My Guitar,0.27,0.3,0,0.27,0.17,0.055,3,Angry,Taylor Swift,
Invisible,0.32,0.24,0,0.28,0.16,0.055,3,Angry,Taylor Swift,
the 1,0.19,0.29,0.13,0.16,0.23,0.075,3,Angry,Taylor Swift,
Why She Disappeared,0.17,0.28,0.14,0.25,0.17,0.085,3,Angry,Taylor Swift,
Cold as You,0.17,0.28,0.2,0.23,0.12,0.145,3,Angry,Taylor Swift,
You Need to Calm Down,0.4,0.07,0.1,0.27,0.17,0,4,Angry,Taylor Swift,
Innocent,0.18,0.18,0.09,0.33,0.22,0.01,4,Angry,Taylor Swift,
I Can Do It With a Broken Heart,0.15,0.18,0.09,0.31,0.27,0.01,4,Angry,Taylor Swift,
Maroon,0.21,0.27,0.12,0.27,0.12,0.02,4,Angry,Taylor Swift,
Dancing With Our Hands Tied,0.28,0.2,0.08,0.32,0.12,0.02,4,Angry,Taylor Swift,
Starlight,0.15,0.24,0.13,0.35,0.13,0.03,4,Angry,Taylor Swift,
coney island,0.19,0.23,0.07,0.35,0.16,0.03,4,Angry,Taylor Swift,
Question...?,0.2,0.34,0.07,0.29,0.1,0.03,4,Angry,Taylor Swift,
Daylight,0.15,0.24,0.13,0.35,0.13,0.03,4,Angry,Taylor Swift,
Snow on the Beach,0.31,0.25,0.06,0.31,0.06,0.04,4,Angry,Taylor Swift,
"You're on Your Own, Kid",0.26,0.26,0.14,0.26,0.08,0.04,4,Angry,Taylor Swift,
Karma,0.23,0.27,0.05,0.27,0.18,0.05,4,Angry,Taylor Swift,
The Best Day,0.21,0.21,0.05,0.34,0.18,0.05,4,Angry,Taylor Swift,
The Great War,0.21,0.21,0.05,0.34,0.18,0.05,4,Angry,Taylor Swift,
State of Grace,0.17,0.28,0.05,0.33,0.17,0.05,4,Angry,Taylor Swift,
I Did Something Bad,0.21,0.21,0.17,0.31,0.1,0.07,4,Angry,Taylor Swift,
Fortnight,0.15,0.18,0.03,0.49,0.15,0.07,4,Angry,Taylor Swift,
I Think He Knows,0.33,0.2,0.02,0.29,0.16,0.08,4,Angry,Taylor Swift,
champagne problems,0.15,0.44,0.02,0.31,0.08,0.08,4,Angry,Taylor Swift,
the last great american dynasty,0.15,0.17,0.02,0.34,0.32,0.08,4,Angry,Taylor Swift,
Invisible,0.32,0.24,0,0.28,0.16,0.1,4,Angry,Taylor Swift,
Beautiful Eyes,0.16,0.41,0,0.31,0.12,0.1,4,Angry,Taylor Swift,
coney island,0.19,0.23,0.07,0.35,0.16,0,5,Angry,Taylor Swift,
Question...?,0.2,0.34,0.07,0.29,0.1,0.00001,5,Angry,Taylor Swift,
Dancing With Our Hands Tied,0.28,0.2,0.08,0.32,0.12,0.01,5,Angry,Taylor Swift,
Call It What You Want,0.18,0.42,0.06,0.24,0.09,0.01,5,Angry,Taylor Swift,
Snow on the Beach,0.31,0.25,0.06,0.31,0.06,0.01,5,Angry,Taylor Swift,
Innocent,0.18,0.18,0.09,0.33,0.22,0.02,5,Angry,Taylor Swift,
I Can Do It With a Broken Heart,0.15,0.18,0.09,0.31,0.27,0.02,5,Angry,Taylor Swift,
Down Bad,0.5,0.15,0.1,0.25,0,0.03,5,Angry,Taylor Swift,
You Belong With Me,0.44,0.18,0.04,0.22,0.11,0.03,5,Angry,Taylor Swift,
How Did It End?,0.17,0.21,0.04,0.33,0.25,0.03,5,Angry,Taylor Swift,
Cruel Summer,0.24,0.18,0.03,0.26,0.29,0.04,5,Angry,Taylor Swift,
'tis the damn season,0.19,0.19,0.03,0.42,0.16,0.04,5,Angry,Taylor Swift,
Lover,0.24,0.28,0.03,0.31,0.14,0.04,5,Angry,Taylor Swift,
Fortnight,0.15,0.18,0.03,0.49,0.15,0.04,5,Angry,Taylor Swift,
"no body, no crime",0.16,0.54,0.03,0.24,0.03,0.04,5,Angry,Taylor Swift,
The Story of Us,0.15,0.33,0.03,0.24,0.24,0.04,5,Angry,Taylor Swift,
Maroon,0.21,0.27,0.12,0.27,0.12,0.05,5,Angry,Taylor Swift,
