name,happy,fear,angry,sad,surprise,Closeness_Score,Iteration,Emotion,ArtistName,
Sanzen,0.31,0.23,0.08,0.31,0.08,0.53,7,None,Dredg,
The Papal Insignia,0.04,0.39,0.39,0.04,0.14,0.66,7,None,Dredg,
Lightswitch,0,0.4,0.24,0.28,0.08,0.205,8,None,Dredg,
Yatahaze,0,0.5,0.12,0.25,0.12,0.255,8,None,Dredg,
The Canyon Behind Her,0,0.59,0.06,0.29,0.06,0.275,8,None,Dredg,
Saviour,0,0.57,0.09,0.3,0.04,0.285,8,None,Dredg,
Scissor Lock,0.03,0.55,0.03,0.31,0.07,0.305,8,None,Dredg,
The Tanbark is Hot Lava,0,0.3,0.35,0.3,0.04,0.395,8,None,Dredg,
Stamp of Origin: Ocean Meets Bay,0,0.33,0,0.33,0.33,0.405,8,None,Dredg,
Spitshine,0,0.32,0.36,0.2,0.12,0.445,8,None,Dredg,
Sanzen,0.31,0.23,0.08,0.31,0.08,0.475,8,None,Dredg,
Yatahaze,0,0.5,0.12,0.25,0.12,0.275,9,None,Dredg,
Stamp of Origin: Ocean Meets Bay,0,0.33,0,0.33,0.33,0.325,9,None,Dredg,
Saviour,0,0.57,0.09,0.3,0.04,0.345,9,None,Dredg,
The Canyon Behind Her,0,0.59,0.06,0.29,0.06,0.355,9,None,Dredg,
Scissor Lock,0.03,0.55,0.03,0.31,0.07,0.365,9,None,Dredg,
The Tanbark is Hot Lava,0,0.3,0.35,0.3,0.04,0.375,9,None,Dredg,
Spitshine,0,0.32,0.36,0.2,0.12,0.385,9,None,Dredg,
Sanzen,0.31,0.23,0.08,0.31,0.08,0.455,9,None,Dredg,
Stamp of Origin: Ocean Meets Bay,0,0.33,0,0.33,0.33,0.31,10,None,Dredg,
Scissor Lock,0.03,0.55,0.03,0.31,0.07,0.37,10,None,Dredg,
Saviour,0,0.57,0.09,0.3,0.04,0.38,10,None,Dredg,
The Canyon Behind Her,0,0.59,0.06,0.29,0.06,0.38,10,None,Dredg,
The Tanbark is Hot Lava,0,0.3,0.35,0.3,0.04,0.39,10,None,Dredg,
Spitshine,0,0.32,0.36,0.2,0.12,0.42,10,None,Dredg,
Sanzen,0.31,0.23,0.08,0.31,0.08,0.45,10,None,Dredg,
Not That Simple,0,0.67,0.08,0.08,0.18,0.65,10,None,Dredg,
Pariah,0,0.46,0.12,0.21,0.21,0.36,11,None,Dredg,
Hungover on a Tuesday,0.21,0.21,0.05,0.32,0.21,0.38,11,None,Dredg,
The Canyon Behind Her,0,0.59,0.06,0.29,0.06,0.44,11,None,Dredg,
The Tanbark is Hot Lava,0,0.3,0.35,0.3,0.04,0.45,11,None,Dredg,
Saviour,0,0.57,0.09,0.3,0.04,0.46,11,None,Dredg,
Spitshine,0,0.32,0.36,0.2,0.12,0.46,11,None,Dredg,
Sanzen,0.31,0.23,0.08,0.31,0.08,0.47,11,None,Dredg,
Scissor Lock,0.03,0.55,0.03,0.31,0.07,0.47,11,None,Dredg,
Not That Simple,0,0.67,0.08,0.08,0.18,0.63,11,None,Dredg,
The Tanbark is Hot Lava,0,0.3,0.35,0.3,0.04,0.32,12,None,Dredg,
Saviour,0,0.57,0.09,0.3,0.04,0.33,12,None,Dredg,
The Canyon Behind Her,0,0.59,0.06,0.29,0.06,0.35,12,None,Dredg,
Scissor Lock,0.03,0.55,0.03,0.31,0.07,0.38,12,None,Dredg,
Spitshine,0,0.32,0.36,0.2,0.12,0.41,12,None,Dredg,
Sanzen,0.31,0.23,0.08,0.31,0.08,0.42,12,None,Dredg,
The Ornament,0,0.25,0,0.67,0.08,0.53,12,None,Dredg,
The Canyon Behind Her,0,0.59,0.06,0.29,0.06,0.365,13,None,Dredg,
Saviour,0,0.57,0.09,0.3,0.04,0.375,13,None,Dredg,
Sanzen,0.31,0.23,0.08,0.31,0.08,0.385,13,None,Dredg,
Scissor Lock,0.03,0.55,0.03,0.31,0.07,0.385,13,None,Dredg,
Spitshine,0,0.32,0.36,0.2,0.12,0.465,13,None,Dredg,
The Ornament,0,0.25,0,0.67,0.08,0.475,13,None,Dredg,
Amoban,0.14,0.29,0.07,0.25,0.25,0.09,1,None,Little Dragon,
The Pop Life,0.07,0.33,0.11,0.26,0.22,0.16,1,None,Little Dragon,
Wink,0.05,0.25,0.1,0.3,0.3,0.23,1,None,Little Dragon,
Underbart,0.06,0.38,0.09,0.24,0.24,0.24,1,None,Little Dragon,
Tumbling Dice,0.25,0.25,0.07,0.29,0.14,0.25,1,None,Little Dragon,
Cat Rider,0.16,0.38,0.05,0.19,0.22,0.25,1,None,Little Dragon,
Crystalfilm,0,0.29,0.08,0.42,0.21,0.27,1,None,Little Dragon,
Strobe Light,0.14,0.27,0.19,0.3,0.11,0.28,1,None,Little Dragon,
Easy Falling,0.14,0.29,0.1,0.43,0.05,0.36,1,None,Little Dragon,
Hold On,0.27,0.13,0.07,0.33,0.2,0.37,1,None,Little Dragon,
Looking Glass,0.1,0.13,0.07,0.47,0.23,0.37,1,None,Little Dragon,
A New,0.14,0.29,0.29,0.29,0,0.46,1,None,Little Dragon,
Let Go,0.15,0.3,0.1,0.05,0.4,0.49,1,None,Little Dragon,
New Fiction,0.15,0.03,0.03,0.58,0.21,0.63,1,None,Little Dragon,
Don't Cry,0.1,0.3,0,0.45,0.15,0.21,2,None,Little Dragon,
My Step,0.12,0.18,0,0.53,0.18,0.26,2,None,Little Dragon,
Little Man,0.08,0.36,0,0.44,0.12,0.31,2,None,Little Dragon,
Strobe Light,0.14,0.27,0.19,0.3,0.11,0.34,2,None,Little Dragon,
Nightlight,0.13,0.48,0,0.22,0.17,0.41,2,None,Little Dragon,
Disco Dangerous,0.44,0.22,0,0.22,0.11,0.48,2,None,Little Dragon,
Turn Left,0.11,0.21,0.05,0.11,0.53,0.68,2,None,Little Dragon,
Twice,0.06,0.19,0.12,0.44,0.19,0.21,3,None,Little Dragon,
Looking Glass,0.1,0.13,0.07,0.47,0.23,0.29,3,None,Little Dragon,
Hold On,0.27,0.13,0.07,0.33,0.2,0.29,3,None,Little Dragon,
My Step,0.12,0.18,0,0.53,0.18,0.3,3,None,Little Dragon,
Shuffle a Dream,0.05,0.29,0,0.34,0.32,0.31,3,None,Little Dragon,
Only One,0,0.17,0.08,0.33,0.42,0.35,3,None,Little Dragon,
Klapp Klapp,0.05,0.22,0.08,0.27,0.38,0.35,3,None,Little Dragon,
Killing Me,0.06,0.14,0,0.44,0.36,0.37,3,None,Little Dragon,
Tumbling Dice,0.25,0.25,0.07,0.29,0.14,0.37,3,None,Little Dragon,
Underbart,0.06,0.38,0.09,0.24,0.24,0.4,3,None,Little Dragon,
Recommendation,0.03,0.14,0.29,0.29,0.26,0.44,3,None,Little Dragon,
Mirror,0.12,0.09,0.09,0.55,0.15,0.45,3,None,Little Dragon,
Should I,0.09,0.45,0.09,0.23,0.14,0.49,3,None,Little Dragon,
Nabuma Rubberband,0.05,0.16,0.37,0.21,0.21,0.51,3,None,Little Dragon,
Turn Left,0.11,0.21,0.05,0.11,0.53,0.64,3,None,Little Dragon,
Swimming,0.1,0.14,0.03,0.14,0.59,0.67,3,None,Little Dragon,
After the Rain,0.03,0.21,0.48,0.14,0.14,0.75,3,None,Little Dragon,
Slugs of Love,0.55,0.13,0.04,0.28,0,0.77,3,None,Little Dragon,
The Pop Life,0.07,0.33,0.11,0.26,0.22,0.105,4,None,Little Dragon,
Underbart,0.06,0.38,0.09,0.24,0.24,0.115,4,None,Little Dragon,
Cat Rider,0.16,0.38,0.05,0.19,0.22,0.215,4,None,Little Dragon,
Gold,0.17,0.34,0,0.27,0.22,0.215,4,None,Little Dragon,
Shuffle a Dream,0.05,0.29,0,0.34,0.32,0.285,4,None,Little Dragon,
Should I,0.09,0.45,0.09,0.23,0.14,0.295,4,None,Little Dragon,
Klapp Klapp,0.05,0.22,0.08,0.27,0.38,0.325,4,None,Little Dragon,
Crystalfilm,0,0.29,0.08,0.42,0.21,0.325,4,None,Little Dragon,
Another Lover,0.26,0.3,0,0.19,0.26,0.345,4,None,Little Dragon,
Little Man,0.08,0.36,0,0.44,0.12,0.415,4,None,Little Dragon,
Looking Glass,0.1,0.13,0.07,0.47,0.23,0.475,4,None,Little Dragon,
Recommendation,0.03,0.14,0.29,0.29,0.26,0.535,4,None,Little Dragon,
Nabuma Rubberband,0.05,0.16,0.37,0.21,0.21,0.545,4,None,Little Dragon,
Constant Surprises,0.05,0.34,0.02,0.05,0.54,0.565,4,None,Little Dragon,
Forever,0.08,0.36,0.03,0.53,0,0.595,4,None,Little Dragon,
